Date,WD,value
2/1/10,25900,A
2/2/10,21000,A
2/3/10,19800,A
2/4/10,19800,A
2/5/10,20200,A
2/6/10,33400,A
2/7/10,37400,A
2/8/10,29400,A
2/9/10,25000,A
2/10/10,26800,A
2/11/10,23900,A
2/12/10,21800,A
2/13/10,19300,A
2/14/10,18400,A
2/15/10,16500,A
2/16/10,16100,A
2/17/10,14300,A
2/18/10,13900,A
2/19/10,12400,A
2/20/10,10200,A
2/21/10,16400,A
2/22/10,14900,A
2/23/10,25200,A
2/24/10,37600,A
2/25/10,38200,A
2/26/10,35900,A
2/27/10,30600,A
2/28/10,25000,A
3/1/10,20000,A
3/2/10,22200,A
3/3/10,20000,A
3/4/10,18800,A
3/5/10,17900,A
3/6/10,15700,A
3/7/10,18000,A
3/8/10,18200,A
3/9/10,21500,A
3/10/10,32200,A
3/11/10,53900,A:e
3/12/10,73300,A:e
3/13/10,142000,A:e
3/14/10,139000,A
3/15/10,112000,A
3/16/10,93500,A
3/17/10,79400,A
3/18/10,64800,A
3/19/10,47700,A
3/20/10,37100,A
3/21/10,32300,A
3/22/10,30800,A
3/23/10,41900,A
3/24/10,55900,A
3/25/10,48300,A
3/26/10,45700,A
3/27/10,42400,A
3/28/10,38500,A
3/29/10,35900,A
3/30/10,39200,A
3/31/10,41300,A
4/1/10,33100,A
4/2/10,24600,A
4/3/10,20700,A
4/4/10,17600,A
4/5/10,14900,A
4/6/10,19300,A
4/7/10,18800,A
4/8/10,18400,A
4/9/10,18100,A
4/10/10,16800,A
4/11/10,21300,A
4/12/10,15100,A
4/13/10,14900,A
4/14/10,14700,A
4/15/10,13000,A
4/16/10,9800,A:e
4/17/10,11300,A
4/18/10,10200,A
4/19/10,10200,A
4/20/10,10300,A
4/21/10,8970,A:e
4/22/10,10400,A
4/23/10,8260,A:e
4/24/10,7930,A:e
4/25/10,8490,A:e
4/26/10,11500,A
4/27/10,11300,A
4/28/10,11600,A
4/29/10,13000,A
4/30/10,9980,A:e
5/1/10,12300,A
5/2/10,10900,A:e
5/3/10,24700,A
5/4/10,26900,A
5/5/10,20900,A
5/6/10,17100,A
5/7/10,11900,A
5/8/10,9810,A:e
5/9/10,9080,A:e
5/10/10,8460,A:e
5/11/10,8020,A:e
5/12/10,11200,A
5/13/10,32300,A
5/14/10,37500,A
5/15/10,31800,A
5/16/10,24000,A
5/17/10,25700,A
5/18/10,48200,A
5/19/10,48700,A
5/20/10,36600,A
5/21/10,27400,A
5/22/10,21300,A
5/23/10,18200,A
5/24/10,14600,A:e
5/25/10,13100,A
5/26/10,11000,A:e
5/27/10,10600,A
5/28/10,9190,A:e
5/29/10,10600,A:e
5/30/10,13700,A
5/31/10,10800,A
6/1/10,9720,A:e
6/2/10,10300,A
6/3/10,10400,A
6/4/10,9190,A:e
6/5/10,8640,A:e
6/6/10,7830,A:e
6/7/10,7610,A:e
6/8/10,6880,A:e
6/9/10,6950,A:e
6/10/10,6750,A:e
6/11/10,5900,A:e
6/12/10,6050,A:e
6/13/10,19500,A
6/14/10,21100,A
6/15/10,16800,A
6/16/10,15200,A
6/17/10,11500,A
6/18/10,8620,A:e
6/19/10,7730,A:e
6/20/10,6360,A:e
6/21/10,5800,A:e
6/22/10,5740,A:e
6/23/10,5390,A:e
6/24/10,5180,A:e
6/25/10,4540,A:e
6/26/10,4510,A:e
6/27/10,4120,A:e
6/28/10,4650,A:e
6/29/10,5120,A:e
6/30/10,4390,A:e
7/1/10,3800,A:e
7/2/10,3470,A:e
7/3/10,3250,A:e
7/4/10,3070,A:e
7/5/10,3050,A:e
7/6/10,2840,A:e
7/7/10,2700,A:e
7/8/10,2580,A:e
7/9/10,2490,A:e
7/10/10,2630,A:e
7/11/10,2550,A:e
7/12/10,2490,A:e
7/13/10,3290,A:e
7/14/10,5920,A:e
7/15/10,7720,A:e
7/16/10,6840,A:e
7/17/10,5080,A:e
7/18/10,4560,A:e
7/19/10,4300,A:e
7/20/10,6150,A:e
7/21/10,15600,A:e
7/22/10,15600,A:e
7/23/10,11200,A:e
7/24/10,7090,A:e
7/25/10,5510,A:e
7/26/10,6810,A:e
7/27/10,5000,A:e
7/28/10,3600,A:e
7/29/10,3500,A:e
7/30/10,3980,A:e
7/31/10,3960,A:e
8/1/10,4020,A:e
8/2/10,3860,A:e
8/3/10,3970,A:e
8/4/10,4440,A:e
8/5/10,5650,A:e
8/6/10,4460,A:e
8/7/10,3880,A:e
8/8/10,3750,A:e
8/9/10,3720,A:e
8/10/10,3450,A:e
8/11/10,3350,A:e
8/12/10,3800,A:e
8/13/10,3880,A:e
8/14/10,3480,A:e
8/15/10,3820,A:e
8/16/10,3390,A:e
8/17/10,3060,A:e
8/18/10,3620,A:e
8/19/10,5900,A:e
8/20/10,6880,A:e
8/21/10,7530,A:e
8/22/10,8270,A:e
8/23/10,5930,A:e
8/24/10,4610,A:e
8/25/10,3920,A:e
8/26/10,4850,A:e
8/27/10,5410,A:e
8/28/10,4950,A:e
8/29/10,4410,A:e
8/30/10,3510,A:e
8/31/10,2970,A:e
9/1/10,2630,A:e
9/2/10,2310,A:e
9/3/10,2200,A:e
9/4/10,2320,A:e
9/5/10,2370,A:e
9/6/10,2270,A:e
9/7/10,2190,A:e
9/8/10,2240,A:e
9/9/10,2300,A:e
9/10/10,2810,A:e
9/11/10,3190,A:e
9/12/10,3120,A:e
9/13/10,3270,A:e
9/14/10,2720,A:e
9/15/10,2230,A:e
9/16/10,2330,A:e
9/17/10,2890,A:e
9/18/10,3400,A:e
9/19/10,3350,A:e
9/20/10,3030,A:e
9/21/10,2830,A:e
9/22/10,2390,A:e
9/23/10,2700,A:e
9/24/10,3470,A:e
9/25/10,3610,A:e
9/26/10,3640,A:e
9/27/10,3120,A:e
9/28/10,2840,A:e
9/29/10,2880,A:e
9/30/10,5120,A:e
10/1/10,5160,A:e
10/2/10,4730,A:e
10/3/10,5580,A:e
10/4/10,5690,A:e
10/5/10,4050,A:e
10/6/10,3250,A:e
10/7/10,3130,A:e
10/8/10,3890,A:e
10/9/10,4430,A:e
10/10/10,4200,A:e
10/11/10,3700,A:e
10/12/10,3050,A:e
10/13/10,2610,A:e
10/14/10,2670,A:e
10/15/10,2460,A:e
10/16/10,2950,A:e
10/17/10,4120,A:e
10/18/10,3680,A:e
10/19/10,2870,A:e
10/20/10,2640,A:e
10/21/10,2560,A:e
10/22/10,2500,A:e
10/23/10,2530,A:e
10/24/10,2510,A:e
10/25/10,2520,A:e
