,"Charleston, WV"
Date,"Flow, m3/s"
1/14/2008 1:00,778.712
1/14/2008 2:00,756.05856
1/14/2008 3:00,739.06848
1/14/2008 4:00,733.40512
1/14/2008 5:00,730.57344
1/14/2008 6:00,727.74176
1/14/2008 7:00,710.75168
1/14/2008 8:00,685.26656
1/14/2008 9:00,702.25664
1/14/2008 10:00,699.42496
1/14/2008 11:00,696.59328
1/14/2008 12:00,659.78144
1/14/2008 13:00,671.10816
1/14/2008 14:00,634.29632
1/14/2008 15:00,662.61312
1/14/2008 16:00,671.10816
1/14/2008 17:00,651.2864
1/14/2008 18:00,631.46464
1/14/2008 19:00,631.46464
1/14/2008 20:00,625.80128
1/14/2008 21:00,608.8112
1/14/2008 22:00,586.15776
1/14/2008 23:00,560.67264
1/15/2008 0:00,538.0192
1/15/2008 1:00,538.0192
1/15/2008 2:00,538.0192
1/15/2008 3:00,532.35584
1/15/2008 4:00,512.53408
1/15/2008 5:00,498.37568
1/15/2008 6:00,489.88064
1/15/2008 7:00,495.544
1/15/2008 8:00,487.04896
1/15/2008 9:00,478.55392
1/15/2008 10:00,475.72224
1/15/2008 11:00,441.74208
1/15/2008 12:00,447.40544
1/15/2008 13:00,430.41536
1/15/2008 14:00,501.20736
1/15/2008 15:00,509.7024
1/15/2008 16:00,487.04896
1/15/2008 17:00,450.23712
1/15/2008 18:00,433.24704
1/15/2008 19:00,421.92032
1/15/2008 20:00,419.08864
1/15/2008 21:00,416.25696
1/15/2008 22:00,407.76192
1/15/2008 23:00,404.93024
1/16/2008 0:00,390.77184
1/16/2008 1:00,385.10848
1/16/2008 2:00,396.4352
1/16/2008 3:00,393.60352
1/16/2008 4:00,393.60352
1/16/2008 5:00,390.77184
1/16/2008 6:00,382.2768
1/16/2008 7:00,373.78176
1/16/2008 8:00,373.78176
1/16/2008 9:00,373.78176
1/16/2008 10:00,373.78176
1/16/2008 11:00,373.78176
1/16/2008 12:00,376.61344
1/16/2008 13:00,373.78176
1/16/2008 14:00,370.95008
1/16/2008 15:00,365.28672
1/16/2008 16:00,359.62336
1/16/2008 17:00,353.96
1/16/2008 18:00,348.29664
1/16/2008 19:00,348.29664
1/16/2008 20:00,345.46496
1/16/2008 21:00,345.46496
1/16/2008 22:00,339.8016
1/16/2008 23:00,336.96992
1/17/2008 0:00,336.96992
1/17/2008 1:00,334.13824
1/17/2008 2:00,322.81152
1/17/2008 3:00,317.14816
1/17/2008 4:00,317.14816
1/17/2008 5:00,314.31648
1/17/2008 6:00,314.31648
1/17/2008 7:00,314.31648
1/17/2008 8:00,314.31648
1/17/2008 9:00,308.65312
1/17/2008 10:00,308.65312
1/17/2008 11:00,308.65312
1/17/2008 12:00,311.4848
1/17/2008 13:00,311.4848
1/17/2008 14:00,311.4848
1/17/2008 15:00,308.65312
1/17/2008 16:00,302.98976
1/17/2008 17:00,302.98976
1/17/2008 18:00,302.98976
1/17/2008 19:00,302.98976
1/17/2008 20:00,300.15808
1/17/2008 21:00,294.49472
1/17/2008 22:00,291.66304
1/17/2008 23:00,282.601664
1/18/2008 0:00,277.221472
1/18/2008 1:00,277.221472
1/18/2008 2:00,269.575936
1/18/2008 3:00,263.34624
1/18/2008 4:00,261.080896
1/18/2008 5:00,259.948224
1/18/2008 6:00,264.478912
1/18/2008 7:00,265.328416
1/18/2008 8:00,262.213568
1/18/2008 9:00,257.68288
1/18/2008 10:00,253.43536
1/18/2008 11:00,251.170016
1/18/2008 12:00,252.302688
1/18/2008 13:00,252.302688
1/18/2008 14:00,250.320512
1/18/2008 15:00,250.320512
1/18/2008 16:00,248.055168
1/18/2008 17:00,243.807648
1/18/2008 18:00,240.6928
1/18/2008 19:00,240.6928
1/18/2008 20:00,239.843296
1/18/2008 21:00,233.6136
1/18/2008 22:00,232.764096
1/18/2008 23:00,236.728448
1/19/2008 0:00,237.86112
1/19/2008 1:00,241.825472
1/19/2008 2:00,240.6928
1/19/2008 3:00,242.958144
1/19/2008 4:00,242.958144
1/19/2008 5:00,242.958144
1/19/2008 6:00,242.958144
1/19/2008 7:00,241.825472
1/19/2008 8:00,241.825472
1/19/2008 9:00,242.958144
1/19/2008 10:00,241.825472
1/19/2008 11:00,241.825472
1/19/2008 12:00,240.6928
1/19/2008 13:00,238.710624
1/19/2008 14:00,238.710624
1/19/2008 15:00,238.710624
1/19/2008 16:00,239.843296
1/19/2008 17:00,239.843296
1/19/2008 18:00,239.843296
1/19/2008 19:00,238.710624
1/19/2008 20:00,236.728448
1/19/2008 21:00,236.728448
1/19/2008 22:00,234.746272
1/19/2008 23:00,234.746272
1/20/2008 0:00,234.746272
1/20/2008 1:00,233.6136
1/20/2008 2:00,234.746272
1/20/2008 3:00,231.631424
1/20/2008 4:00,230.78192
1/20/2008 5:00,230.78192
1/20/2008 6:00,230.78192
1/20/2008 7:00,231.631424
1/20/2008 8:00,231.631424
1/20/2008 9:00,173.298816
1/20/2008 10:00,151.778048
1/20/2008 11:00,216.62352
1/20/2008 12:00,278.354144
1/20/2008 13:00,269.575936
1/20/2008 14:00,246.072992
1/20/2008 15:00,235.595776
1/20/2008 16:00,229.649248
1/20/2008 17:00,227.667072
1/20/2008 18:00,225.968064
1/20/2008 19:00,222.853216
